DP;DPNOM;DPMP;MPIO;2017;cdigo.dane
52;Nariño;52317;Guachucal;1541;52317000
52;Nariño;52320;Guaitarilla;11681;52320000
52;Nariño;52323;Gualmatán;5778;52323000
52;Nariño;52352;Iles;8871;52352000
52;Nariño;52354;Imués;6004;52354000
52;Nariño;52356;Ipiales;145073;52356000
52;Nariño;52378;La Cruz;18273;52378000
52;Nariño;52381;La Florida;9368;52381000
52;Nariño;52385;La Llanada;5648;52385000
52;Nariño;52390;La Tola;13669;52390000
52;Nariño;52399;La Unión;25689;52399000
52;Nariño;52405;Leiva;14266;52405000
52;Nariño;52411;Linares;9699;52411000
52;Nariño;52418;Los Andes;20128;52418000
52;Nariño;52427;Magüi;23869;52427000
52;Nariño;52435;Mallama;7471;52435000
52;Nariño;52473;Mosquera;17275;52473000
52;Nariño;52480;Nariño;5002;52480000
52;Nariño;52490;Olaya Herrera;31986;52490000
52;Nariño;52506;Ospina;8797;52506000
52;Nariño;52520;Francisco Pizarro;15975;52520000
52;Nariño;52540;Policarpa;17469;52540000
52;Nariño;52560;Potosí;11932;52560000
52;Nariño;52565;Providencia;13566;52565000
52;Nariño;52573;Puerres;8259;52573000
52;Nariño;52585;Pupiales;19548;52585000
52;Nariño;52612;Ricaurte;19495;52612000
52;Nariño;52621;Roberto Payán;23984;52621000
52;Nariño;52678;Samaniego;49362;52678000
52;Nariño;52683;Sandoná;2573;52683000
52;Nariño;52685;San Bernardo;20326;52685000
52;Nariño;52687;San Lorenzo;20147;52687000
52;Nariño;52693;San Pablo;17312;52693000
52;Nariño;52694;San Pedro de Cartago;7613;52694000
52;Nariño;52696;Santa Bárbara;1463;52696000
52;Nariño;52699;Santacruz;29963;52699000
52;Nariño;52720;Sapuyes;6124;52720000
52;Nariño;52786;Taminango;21265;52786000
52;Nariño;52788;Tangua;9383;52788000
52;Nariño;52835;San Andres de Tumaco;208318;52835000
52;Nariño;52838;Túquerres;40388;52838000
52;Nariño;52885;Yacuanquer;11158;52885000
54;Norte de Santander;54001;Cúcuta;662673;54001000
54;Norte de Santander;54003;Abrego;38733;54003000
54;Norte de Santander;54051;Arboledas;8958;54051000
54;Norte de Santander;54099;Bochalema;706;54099000
54;Norte de Santander;54109;Bucarasica;4566;54109000
54;Norte de Santander;54125;Cácota;1819;54125000
54;Norte de Santander;54128;Cachirá;1105;54128000
54;Norte de Santander;54172;Chinácota;16686;54172000
54;Norte de Santander;54174;Chitagá;10409;54174000
54;Norte de Santander;54206;Convención;1303;54206000
54;Norte de Santander;54223;Cucutilla;7559;54223000
54;Norte de Santander;54239;Durania;3706;54239000
54;Norte de Santander;54245;El Carmen;13575;54245000
54;Norte de Santander;54250;El Tarra;11002;54250000
54;Norte de Santander;54261;El Zulia;23388;54261000
54;Norte de Santander;54313;Gramalote;5442;54313000
54;Norte de Santander;54344;Hacarí;1079;54344000
54;Norte de Santander;54347;Herrán;396;54347000
54;Norte de Santander;54377;Labateca;5886;54377000
54;Norte de Santander;54385;La Esperanza;1224;54385000
54;Norte de Santander;54398;La Playa;8559;54398000
54;Norte de Santander;54405;Los Patios;78409;54405000
54;Norte de Santander;54418;Lourdes;336;54418000
54;Norte de Santander;54480;Mutiscua;3727;54480000
54;Norte de Santander;54498;Ocaña;99741;54498000
54;Norte de Santander;54518;Pamplona;582;54518000
54;Norte de Santander;54520;Pamplonita;4958;54520000
54;Norte de Santander;54553;Puerto Santander;1059;54553000
54;Norte de Santander;54599;Ragonvalia;6902;54599000
54;Norte de Santander;54660;Salazar;89;54660000
54;Norte de Santander;54670;San Calixto;13753;54670000
54;Norte de Santander;54673;San Cayetano;5649;54673000
54;Norte de Santander;54680;Santiago;2853;54680000
54;Norte de Santander;54720;Sardinata;22608;54720000
54;Norte de Santander;54743;Silos;4285;54743000
54;Norte de Santander;54800;Teorama;22438;54800000
54;Norte de Santander;54810;Tibú;36907;54810000
54;Norte de Santander;54820;Toledo;17285;54820000
54;Norte de Santander;54871;Villa Caro;5216;54871000
54;Norte de Santander;54874;Villa del Rosario;92661;54874000
63;Quindio;63001;Armenia;299712;63001000
63;Quindio;63111;Buenavista;2779;63111000
63;Quindio;63130;Calarca;78385;63130000
63;Quindio;63190;Circasia;30394;63190000
63;Quindio;63212;Córdoba;5286;63212000
63;Quindio;63272;Filandia;1352;63272000
63;Quindio;63302;Génova;7631;63302000
63;Quindio;63401;La Tebaida;44187;63401000
63;Quindio;63470;Montenegro;41578;63470000
63;Quindio;63548;Pijao;604;63548000
63;Quindio;63594;Quimbaya;35118;63594000
63;Quindio;63690;Salento;7103;63690000
66;Risaralda;66001;Pereira;474335;66001000
66;Risaralda;66045;Apía;19271;66045000
66;Risaralda;66075;Balboa;6328;66075000
66;Risaralda;66088;Belén de Umbría;27727;66088000
66;Risaralda;66170;Dosquebradas;202795;66170000
66;Risaralda;66318;Guática;15217;66318000
66;Risaralda;66383;La Celia;8568;66383000
66;Risaralda;66400;La Virginia;32192;66400000
66;Risaralda;66440;Marsella;23707;66440000
66;Risaralda;66456;Mistrató;16454;66456000
66;Risaralda;66572;Pueblo Rico;1363;66572000
66;Risaralda;66594;Quinchía;33885;66594000
66;Risaralda;66682;Santa Rosa de Cabal;72634;66682000
66;Risaralda;66687;Santuario;15786;66687000
68;Santander;68001;Bucaramanga;528497;68001000
68;Santander;68013;Aguada;18;68013000
68;Santander;68020;Albania;523;68020000
68;Santander;68051;Aratoca;8291;68051000
68;Santander;68077;Barbosa;29106;68077000
68;Santander;68079;Barichara;7112;68079000
68;Santander;68081;Barrancabermeja;191616;68081000
68;Santander;68092;Betulia;5061;68092000
68;Santander;68101;Bolívar;1206;68101000
68;Santander;68121;Cabrera;2356;68121000
68;Santander;68132;California;202;68132000
68;Santander;68147;Capitanejo;5481;68147000
68;Santander;68152;Carcasí;4989;68152000
68;Santander;68160;Cepitá;1832;68160000
68;Santander;68162;Cerrito;5596;68162000
68;Santander;68167;Charalá;10373;68167000
68;Santander;68169;Charta;2592;68169000
68;Santander;68176;Chima;3042;68176000
68;Santander;68179;Chipatá;5071;68179000
68;Santander;68190;Cimitarra;47096;68190000
68;Santander;68207;Concepción;5177;68207000
68;Santander;68209;Confines;2698;68209000
68;Santander;68211;Contratación;3409;68211000
68;Santander;68217;Coromoro;7612;68217000
68;Santander;68229;Curití;1198;68229000
68;Santander;68235;El Carmen de Chucurí;20476;68235000
68;Santander;68245;El Guacamayo;1943;68245000
68;Santander;68250;El Peñón;5076;68250000
68;Santander;68255;El Playón;1152;68255000
68;Santander;68264;Encino;2459;68264000
68;Santander;68266;Enciso;3202;68266000
68;Santander;68271;Florián;6284;68271000
68;Santander;68276;Floridablanca;266617;68276000
68;Santander;68296;Galán;2196;68296000
68;Santander;68298;Gambita;5038;68298000
68;Santander;68307;Girón;19035;68307000
68;Santander;68318;Guaca;6296;68318000
68;Santander;68320;Guadalupe;4604;68320000
68;Santander;68322;Guapotá;2112;68322000
68;Santander;68324;Guavatá;3549;68324000
68;Santander;68327;Güepsa;3772;68327000
68;Santander;68344;Hato;2331;68344000
68;Santander;68368;Jesús María;308;68368000
68;Santander;68370;Jordán;1092;68370000
68;Santander;68377;La Belleza;8594;68377000
68;Santander;68385;Landázuri;15418;68385000
68;Santander;68397;La Paz;5075;68397000
68;Santander;68406;Lebríja;40252;68406000
68;Santander;68418;Los Santos;12423;68418000
68;Santander;68425;Macaravita;2299;68425000
68;Santander;68432;Málaga;18308;68432000
68;Santander;68444;Matanza;5201;68444000
68;Santander;68464;Mogotes;10878;68464000
68;Santander;68468;Molagavita;5087;68468000
68;Santander;68498;Ocamonte;4723;68498000
68;Santander;68500;Oiba;11896;68500000
68;Santander;68502;Onzaga;4946;68502000
68;Santander;68522;Palmar;3423;68522000
68;Santander;68524;Palmas del Socorro;222;68524000
68;Santander;68533;Páramo;4201;68533000
68;Santander;68547;Piedecuesta;156207;68547000
68;Santander;68549;Pinchote;5373;68549000
68;Santander;68572;Puente Nacional;12086;68572000
68;Santander;68573;Puerto Parra;7768;68573000
68;Santander;68575;Puerto Wilches;31501;68575000
68;Santander;68615;Rionegro;2668;68615000
68;Santander;68655;Sabana de Torres;18325;68655000
68;Santander;68669;San Andrés;8315;68669000
68;Santander;68673;San Benito;4007;68673000
68;Santander;68679;San Gil;45752;68679000
68;Santander;68682;San Joaquín;2407;68682000
68;Santander;68684;San José de Miranda;4256;68684000
68;Santander;68686;San Miguel;231;68686000
68;Santander;68689;San Vicente de Chucurí;34881;68689000
68;Santander;68705;Santa Bárbara;21;68705000
68;Santander;68720;Santa Helena del Opón;4275;68720000
68;Santander;68745;Simacota;7593;68745000
68;Santander;68755;Socorro;30847;68755000
68;Santander;68770;Suaita;10142;68770000
68;Santander;68773;Sucre;8246;68773000
68;Santander;68780;Suratá;3225;68780000
68;Santander;68820;Tona;7168;68820000
68;Santander;68855;Valle de San José;4551;68855000
68;Santander;68861;Vélez;18932;68861000
68;Santander;68867;Vetas;2454;68867000
68;Santander;68872;Villanueva;5652;68872000
68;Santander;68895;Zapatoca;8847;68895000
70;Sucre;70001;Sincelejo;282868;70001000
70;Sucre;70110;Buenavista;968;70110000
70;Sucre;70124;Caimito;12303;70124000
70;Sucre;70204;Coloso;5768;70204000
70;Sucre;70215;Corozal;63246;70215000
70;Sucre;70221;Coveñas;14032;70221000
70;Sucre;70230;Chalán;4381;70230000
70;Sucre;70233;El Roble;10805;70233000
70;Sucre;70235;Galeras;20854;70235000
70;Sucre;70265;Guaranda;17883;70265000
70;Sucre;70400;La Unión;11362;70400000
70;Sucre;70418;Los Palmitos;19234;70418000
70;Sucre;70429;Majagual;33625;70429000
70;Sucre;70473;Morroa;14764;70473000
70;Sucre;70508;Ovejas;20967;70508000
70;Sucre;70523;Palmito;14224;70523000
70;Sucre;70670;Sampués;38204;70670000
70;Sucre;70678;San Benito Abad;26005;70678000
70;Sucre;70702;San Juan de Betulia;12571;70702000
70;Sucre;70708;San Marcos;58502;70708000
70;Sucre;70713;San Onofre;51084;70713000
70;Sucre;70717;San Pedro;15961;70717000
70;Sucre;70742;San Luis de Sincé;34342;70742000
70;Sucre;70771;Sucre;22424;70771000
70;Sucre;70820;Santiago de Tolú;34456;70820000
70;Sucre;70823;Tolú Viejo;18893;70823000
73;Tolima;73001;Ibagué;564076;73001000
73;Tolima;73024;Alpujarra;4963;73024000
73;Tolima;73026;Alvarado;8796;73026000
73;Tolima;73030;Ambalema;6683;73030000
73;Tolima;73043;Anzoátegui;18849;73043000
73;Tolima;73055;Armero;11724;73055000
73;Tolima;73067;Ataco;22669;73067000
73;Tolima;73124;Cajamarca;19626;73124000
73;Tolima;73148;Carmen de Apicalá;888;73148000
73;Tolima;73152;Casabianca;6639;73152000
73;Tolima;73168;Chaparral;47293;73168000
73;Tolima;73200;Coello;9887;73200000
73;Tolima;73217;Coyaima;28379;73217000
73;Tolima;73226;Cunday;9544;73226000
73;Tolima;73236;Dolores;7923;73236000
73;Tolima;73268;Espinal;76056;73268000
73;Tolima;73270;Falan;9204;73270000
73;Tolima;73275;Flandes;29296;73275000
73;Tolima;73283;Fresno;30047;73283000
73;Tolima;73319;Guamo;31866;73319000
73;Tolima;73347;Herveo;7893;73347000
73;Tolima;73349;Honda;24311;73349000
73;Tolima;73352;Icononzo;10801;73352000
73;Tolima;73408;Lérida;17197;73408000
73;Tolima;73411;Líbano;40065;73411000
73;Tolima;73443;Mariquita;3334;73443000
73;Tolima;73449;Melgar;36641;73449000
73;Tolima;73461;Murillo;501;73461000
73;Tolima;73483;Natagaima;22455;73483000
73;Tolima;73504;Ortega;32337;73504000
73;Tolima;73520;Palocabildo;912;73520000
73;Tolima;73547;Piedras;5662;73547000
73;Tolima;73555;Planadas;30023;73555000
73;Tolima;73563;Prado;7607;73563000
73;Tolima;73585;Purificación;29539;73585000
73;Tolima;73616;Rioblanco;24345;73616000
73;Tolima;73622;Roncesvalles;634;73622000
73;Tolima;73624;Rovira;20452;73624000
73;Tolima;73671;Saldaña;14329;73671000
73;Tolima;73675;San Antonio;14219;73675000
73;Tolima;73678;San Luis;19141;73678000
73;Tolima;73686;Santa Isabel;634;73686000
73;Tolima;73770;Suárez;4553;73770000
73;Tolima;73854;Valle de San Juan;6387;73854000
73;Tolima;73861;Venadillo;19714;73861000
73;Tolima;73870;Villahermosa;10591;73870000
73;Tolima;73873;Villarrica;5312;73873000
76;Valle del Cauca;76001;Cali;2420114;76001000
76;Valle del Cauca;76020;Alcalá;22245;76020000
76;Valle del Cauca;76036;Andalucía;1776;76036000
76;Valle del Cauca;76041;Ansermanuevo;19355;76041000
76;Valle del Cauca;76054;Argelia;6392;76054000
76;Valle del Cauca;76100;Bolívar;13131;76100000
76;Valle del Cauca;76109;Buenaventura;41577;76109000
76;Valle del Cauca;76111;Guadalajara de Buga;114798;76111000
76;Valle del Cauca;76113;Bugalagrande;21075;76113000
76;Valle del Cauca;76122;Caicedonia;29629;76122000
76;Valle del Cauca;76126;Calima;15824;76126000
76;Valle del Cauca;76130;Candelaria;84129;76130000
76;Valle del Cauca;76147;Cartago;13364;76147000
76;Valle del Cauca;76233;Dagua;36652;76233000
76;Valle del Cauca;76243;El Águila;11164;76243000
76;Valle del Cauca;76246;El Cairo;10116;76246000
76;Valle del Cauca;76248;El Cerrito;58028;76248000
76;Valle del Cauca;76250;El Dovio;8326;76250000
76;Valle del Cauca;76275;Florida;58555;76275000
76;Valle del Cauca;76306;Ginebra;21433;76306000
76;Valle del Cauca;76318;Guacarí;35087;76318000
76;Valle del Cauca;76364;Jamundí;124623;76364000
76;Valle del Cauca;76377;La Cumbre;11614;76377000
76;Valle del Cauca;76400;La Unión;39011;76400000
76;Valle del Cauca;76403;La Victoria;13076;76403000
76;Valle del Cauca;76497;Obando;15146;76497000
76;Valle del Cauca;76520;Palmira;308669;76520000
76;Valle del Cauca;76563;Pradera;56545;76563000
76;Valle del Cauca;76606;Restrepo;16323;76606000
76;Valle del Cauca;76616;Riofrío;14258;76616000
76;Valle del Cauca;76622;Roldanillo;32412;76622000
76;Valle del Cauca;76670;San Pedro;18637;76670000
76;Valle del Cauca;76736;Sevilla;4459;76736000
76;Valle del Cauca;76823;Toro;16533;76823000
76;Valle del Cauca;76828;Trujillo;17983;76828000
76;Valle del Cauca;76834;Tuluá;216619;76834000
76;Valle del Cauca;76845;Ulloa;5387;76845000
76;Valle del Cauca;76863;Versalles;7017;76863000
76;Valle del Cauca;76869;Vijes;11276;76869000
76;Valle del Cauca;76890;Yotoco;16418;76890000
76;Valle del Cauca;76892;Yumbo;122762;76892000
76;Valle del Cauca;76895;Zarzal;4614;76895000
81;Arauca;81001;Arauca;90924;81001000
81;Arauca;81065;Arauquita;42171;81065000
81;Arauca;81220;Cravo Norte;3263;81220000
81;Arauca;81300;Fortul;26107;81300000
81;Arauca;81591;Puerto Rondón;3831;81591000
81;Arauca;81736;Saravena;47957;81736000
81;Arauca;81794;Tame;53739;81794000
85;Casanare;85001;Yopal;146202;85001000
85;Casanare;85010;Aguazul;40819;85010000
85;Casanare;85015;Chameza;2558;85015000
85;Casanare;85125;Hato Corozal;12578;85125000
85;Casanare;85136;La Salina;1449;85136000
85;Casanare;85139;Maní;11123;85139000
85;Casanare;85162;Monterrey;15213;85162000
85;Casanare;85225;Nunchía;8906;85225000
85;Casanare;85230;Orocué;8389;85230000
85;Casanare;85250;Paz de Ariporo;26458;85250000
85;Casanare;85263;Pore;7914;85263000
85;Casanare;85279;Recetor;4375;85279000
85;Casanare;85300;Sabanalarga;2893;85300000
85;Casanare;85315;Sácama;2062;85315000
85;Casanare;85325;San Luis de Palenque;7856;85325000
85;Casanare;85400;Támara;7034;85400000
85;Casanare;85410;Tauramena;23387;85410000
85;Casanare;85430;Trinidad;15472;85430000
85;Casanare;85440;Villanueva;24301;85440000
86;Putumayo;86001;Mocoa;43731;86001000
86;Putumayo;86219;Colón;5604;86219000
86;Putumayo;86320;Orito;55018;86320000
86;Putumayo;86568;Puerto Asís;61483;86568000
86;Putumayo;86569;Puerto Caicedo;14675;86569000
86;Putumayo;86571;Puerto Guzmán;23994;86571000
86;Putumayo;86573;Leguízamo;15396;86573000
86;Putumayo;86749;Sibundoy;1431;86749000
86;Putumayo;86755;San Francisco;7151;86755000
86;Putumayo;86757;San Miguel;27707;86757000
86;Putumayo;86760;Santiago;10661;86760000
86;Putumayo;86865;Valle del Guamuez;53057;86865000
86;Putumayo;86885;Villagarzón;21307;86885000
88;Archipiélago de San Andrés;88001;San Andrés;72585;88001000
88;Archipiélago de San Andrés;88564;Providencia;5174;88564000
91;Amazonas;91001;Leticia;41957;91001000
91;Amazonas;91263;El Encanto (ANM);4928;91263000
91;Amazonas;91405;La Chorrera (ANM);3988;91405000
91;Amazonas;91407;La Pedrera (ANM);5269;91407000
91;Amazonas;91430;La Victoria (ANM);1127;91430000
91;Amazonas;91460;Miriti - Paraná (ANM);1519;91460000
91;Amazonas;91530;Puerto Alegría (ANM);2107;91530000
91;Amazonas;91536;Puerto Arica (ANM);133;91536000
91;Amazonas;91540;Puerto Nariño;8398;91540000
91;Amazonas;91669;Puerto Santander (ANM);3051;91669000
91;Amazonas;91798;Tarapacá (ANM);4274;91798000
94;Guainía;94001;Inírida;20147;94001000
94;Guainía;94343;Barranco Minas (ANM);4944;94343000
94;Guainía;94663;Mapiripana (ANM);2788;94663000
94;Guainía;94883;San Felipe (ANM);2217;94883000
94;Guainía;94884;Puerto Colombia (ANM);4932;94884000
94;Guainía;94885;La Guadalupe (ANM);392;94885000
94;Guainía;94886;Cacahual (ANM);2694;94886000
94;Guainía;94887;Pana Pana (ANM);3358;94887000
94;Guainía;94888;Morichal (ANM);1305;94888000
95;Guaviare;95001;San José del Guaviare;66679;95001000
95;Guaviare;95015;Calamar;8665;95015000
95;Guaviare;95025;El Retorno;23756;95025000
95;Guaviare;95200;Miraflores;15107;95200000
97;Vaupés;97001;Mitú;32156;97001000
97;Vaupés;97161;Caruru;3336;97161000
97;Vaupés;97511;Pacoa (ANM);598;97511000
97;Vaupés;97666;Taraira;960;97666000
97;Vaupés;97777;Papunaua (ANM);837;97777000
97;Vaupés;97889;Yavaraté (ANM);1231;97889000
99;Vichada;99001;Puerto Carreño;16249;99001000
99;Vichada;99524;La Primavera;16447;99524000
99;Vichada;99624;Santa Rosalía;4138;99624000
99;Vichada;99773;Cumaribo;38634;99773000
