DP;DPNOM;DPMP;MPIO;2017;cdigo.dane
15;Boyacá;15835;Turmequé;5921;15835000
15;Boyacá;15837;Tuta;98;15837000
15;Boyacá;15839;Tutazá;182;15839000
15;Boyacá;15842;Umbita;1033;15842000
15;Boyacá;15861;Ventaquemada;15627;15861000
15;Boyacá;15879;Viracachá;3172;15879000
15;Boyacá;15897;Zetaquira;4441;15897000
17;Caldas;17001;Manizales;39883;17001000
17;Caldas;17013;Aguadas;21653;17013000
17;Caldas;17042;Anserma;33535;17042000
17;Caldas;17050;Aranzazu;11164;17050000
17;Caldas;17088;Belalcázar;10651;17088000
17;Caldas;17174;Chinchiná;51076;17174000
17;Caldas;17272;Filadelfia;10713;17272000
17;Caldas;17380;La Dorada;77735;17380000
17;Caldas;17388;La Merced;5281;17388000
17;Caldas;17433;Manzanares;22947;17433000
17;Caldas;17442;Marmato;9214;17442000
17;Caldas;17444;Marquetalia;15006;17444000
17;Caldas;17446;Marulanda;3393;17446000
17;Caldas;17486;Neira;30963;17486000
17;Caldas;17495;Norcasia;6272;17495000
17;Caldas;17513;Pácora;11399;17513000
17;Caldas;17524;Palestina;17674;17524000
17;Caldas;17541;Pensilvania;26347;17541000
17;Caldas;17614;Riosucio;63045;17614000
17;Caldas;17616;Risaralda;9362;17616000
17;Caldas;17653;Salamina;16005;17653000
17;Caldas;17662;Samaná;25789;17662000
17;Caldas;17665;San José;7588;17665000
17;Caldas;17777;Supía;27099;17777000
17;Caldas;17867;Victoria;8224;17867000
17;Caldas;17873;Villamaría;58481;17873000
17;Caldas;17877;Viterbo;12414;17877000
18;Caquetá;18001;Florencia;17845;18001000
18;Caquetá;18029;Albania;6435;18029000
18;Caquetá;18094;Belén de Los Andaquies;11663;18094000
18;Caquetá;18150;Cartagena del Chairá;34429;18150000
18;Caquetá;18205;Curillo;11789;18205000
18;Caquetá;18247;El Doncello;22227;18247000
18;Caquetá;18256;El Paujil;20832;18256000
18;Caquetá;18410;La Montañita;23962;18410000
18;Caquetá;18460;Milán;11802;18460000
18;Caquetá;18479;Morelia;3863;18479000
18;Caquetá;18592;Puerto Rico;33543;18592000
18;Caquetá;18610;San José del Fragua;15125;18610000
18;Caquetá;18753;San Vicente del Caguán;70453;18753000
18;Caquetá;18756;Solano;24603;18756000
18;Caquetá;18785;Solita;9149;18785000
18;Caquetá;18860;Valparaíso;11731;18860000
19;Cauca;19001;Popayán;282453;19001000
19;Cauca;19022;Almaguer;21322;19022000
19;Cauca;19050;Argelia;27221;19050000
19;Cauca;19075;Balboa;26005;19075000
19;Cauca;19100;Bolívar;44793;19100000
19;Cauca;19110;Buenos Aires;33435;19110000
19;Cauca;19130;Cajibío;38149;19130000
19;Cauca;19137;Caldono;33653;19137000
19;Cauca;19142;Caloto(1)(3);17713;19142000
19;Cauca;19212;Corinto;32707;19212000
19;Cauca;19256;El Tambo;47818;19256000
19;Cauca;19290;Florencia;616;19290000
19;Cauca;19300;Guachené (1) ;19896;19300000
19;Cauca;19318;Guapi;29867;19318000
19;Cauca;19355;Inzá;31701;19355000
19;Cauca;19364;Jambaló;18303;19364000
19;Cauca;19392;La Sierra;10609;19392000
19;Cauca;19397;La Vega;46561;19397000
19;Cauca;19418;López;20581;19418000
19;Cauca;19450;Mercaderes;18151;19450000
19;Cauca;19455;Miranda;41202;19455000
19;Cauca;19473;Morales;26358;19473000
19;Cauca;19513;Padilla;7794;19513000
19;Cauca;19517;Paez;35871;19517000
19;Cauca;19532;Patía;36895;19532000
19;Cauca;19533;Piamonte;7417;19533000
19;Cauca;19548;Piendamó;44535;19548000
19;Cauca;19573;Puerto Tejada;45976;19573000
19;Cauca;19585;Puracé;15274;19585000
19;Cauca;19622;Rosas;1347;19622000
19;Cauca;19693;San Sebastián;14186;19693000
19;Cauca;19698;Santander de Quilichao;96518;19698000
19;Cauca;19701;Santa Rosa;10688;19701000
19;Cauca;19743;Silvia;32462;19743000
19;Cauca;19760;Sotara;17273;19760000
19;Cauca;19780;Suárez;1855;19780000
19;Cauca;19785;Sucre;8885;19785000
19;Cauca;19807;Timbío;34757;19807000
19;Cauca;19809;Timbiquí;21862;19809000
19;Cauca;19821;Toribio;29818;19821000
19;Cauca;19824;Totoró;2072;19824000
19;Cauca;19845;Villa Rica;16596;19845000
20;Cesar;20001;Valledupar;473251;20001000
20;Cesar;20011;Aguachica;94864;20011000
25;Cundinamarca;25279;Fomeque;12231;25279000
20;Cesar;20013;Agustín Codazzi;50055;20013000
20;Cesar;20032;Astrea;19305;20032000
20;Cesar;20045;Becerril;13322;20045000
20;Cesar;20060;Bosconia;3849;20060000
20;Cesar;20175;Chimichagua;30493;20175000
20;Cesar;20178;Chiriguaná;19121;20178000
20;Cesar;20228;Curumaní;23699;20228000
20;Cesar;20238;El Copey;26701;20238000
20;Cesar;20250;El Paso;23187;20250000
20;Cesar;20295;Gamarra;17061;20295000
20;Cesar;20310;González;6593;20310000
20;Cesar;20383;La Gloria;12591;20383000
20;Cesar;20400;La Jagua de Ibirico;22341;20400000
20;Cesar;20443;Manaure;152;20443000
20;Cesar;20517;Pailitas;17369;20517000
20;Cesar;20550;Pelaya;18134;20550000
20;Cesar;20570;Pueblo Bello;23404;20570000
20;Cesar;20614;Río de Oro;13946;20614000
20;Cesar;20621;La Paz;22929;20621000
20;Cesar;20710;San Alberto;25603;20710000
20;Cesar;20750;San Diego;13266;20750000
20;Cesar;20770;San Martín;18748;20770000
20;Cesar;20787;Tamalameque;13802;20787000
23;Córdoba;23001;Montería;453931;23001000
23;Córdoba;23068;Ayapel;53152;23068000
23;Córdoba;23079;Buenavista;22191;23079000
23;Córdoba;23090;Canalete;22542;23090000
23;Córdoba;23162;Cereté;93039;23162000
23;Córdoba;23168;Chimá;15304;23168000
23;Córdoba;23182;Chinú;49362;23182000
23;Córdoba;23189;Ciénaga de Oro;66703;23189000
23;Córdoba;23300;Cotorra;15513;23300000
23;Córdoba;23350;La Apartada;15766;23350000
23;Córdoba;23417;Lorica;119838;23417000
23;Córdoba;23419;Los Córdobas;25208;23419000
23;Córdoba;23464;Momil;15074;23464000
23;Córdoba;23466;Montelíbano(1)(3);85012;23466000
23;Córdoba;23500;Moñitos;28294;23500000
23;Córdoba;23555;Planeta Rica;68309;23555000
23;Córdoba;23570;Pueblo Nuevo;40129;23570000
23;Córdoba;23574;Puerto Escondido;30923;23574000
23;Córdoba;23580;Puerto Libertador;50755;23580000
23;Córdoba;23586;Purísima;15142;23586000
23;Córdoba;23660;Sahagún;90274;23660000
23;Córdoba;23670;San Andrés Sotavento (1) (3);45006;23670000
23;Córdoba;23672;San Antero;32526;23672000
23;Córdoba;23675;San Bernardo del Viento;35518;23675000
23;Córdoba;23678;San Carlos;27858;23678000
23;Córdoba;23682;San José de Uré(1);11357;23682000
23;Córdoba;23686;San Pelayo;4453;23686000
23;Córdoba;23807;Tierralta;104817;23807000
23;Córdoba;23815;Tuchín (1);39511;23815000
23;Córdoba;23855;Valencia;44946;23855000
25;Cundinamarca;25001;Agua de Dios;10823;25001000
25;Cundinamarca;25019;Albán;5956;25019000
25;Cundinamarca;25035;Anapoima;13713;25035000
25;Cundinamarca;25040;Anolaima;1211;25040000
25;Cundinamarca;25053;Arbeláez;12374;25053000
25;Cundinamarca;25086;Beltrán;2256;25086000
25;Cundinamarca;25095;Bituima;25;25095000
25;Cundinamarca;25099;Bojacá;1214;25099000
25;Cundinamarca;25120;Cabrera;4456;25120000
25;Cundinamarca;25123;Cachipay;9788;25123000
25;Cundinamarca;25126;Cajicá;59198;25126000
25;Cundinamarca;25148;Caparrapí;1672;25148000
25;Cundinamarca;25151;Caqueza;17214;25151000
25;Cundinamarca;25154;Carmen de Carupa;9276;25154000
25;Cundinamarca;25168;Chaguaní;3968;25168000
25;Cundinamarca;25175;Chía;132691;25175000
25;Cundinamarca;25178;Chipaque;8401;25178000
25;Cundinamarca;25181;Choachí;10614;25181000
25;Cundinamarca;25183;Chocontá;26562;25183000
